"","age","Dalc","Walc"
"365",17,1,2
"366",18,2,4
"367",18,2,2
"368",17,1,2
"369",18,1,2
"370",18,4,2
"371",19,1,1
"372",18,2,3
"373",17,1,1
"374",17,1,3
"375",18,1,1
"376",18,1,2
"377",20,1,1
"378",18,3,4
"379",18,1,2
"380",17,2,3
"381",18,1,4
"382",18,1,3
"383",17,1,1
"384",19,1,3
"385",18,4,3
"386",18,1,3
"387",18,2,2
"388",19,1,2
"389",18,1,1
"390",18,1,1
"391",20,4,5
"392",17,3,4
"393",21,3,3
"394",18,3,4
"395",19,3,3
